{'NM_000014': ['version 5', 4425]}
{'NM_001166539': ['version 1', 291]}
{'NM_001166540': ['version 1', 291]}
{'NM_001166541': ['version 1', 291]}
{'NM_001166542': ['version 1', 291]}
{'NM_001166543': ['version 1', 321]}
{'NM_001166544': ['version 1', 321]}
{'NM_001166545': ['version 1', 336]}
{'NM_001166546': ['version 1', 357]}
{'NM_001166547': ['version 1', 2952]}
{'NM_001166548': ['version 1', 2880]}
{'NM_001166549': ['version 1', 2880]}
{'NM_001166552': ['version 1', 2943]}
{'NM_001166553': ['version 1', 801]}
{'NM_001166556': ['version 1', 1167]}
{'NM_001166557': ['version 1', 978]}
{'NM_001166576': ['version 1', 1113]}
{'NM_001166577': ['version 1', 615]}
{'NM_001166578': ['version 1', 483]}
{'NM_001166580': ['version 1', 618]}
{'NM_001166583': ['version 1', 693]}
{'NM_001166585': ['version 1', 1236]}
{'NM_001166586': ['version 1', 765]}
{'NM_001166589': ['version 1', 465]}
{'NM_001166590': ['version 1', 465]}
{'NM_001166591': ['version 1', 465]}
{'NM_001166592': ['version 1', 465]}
{'NM_001166593': ['version 1', 465]}
{'NM_001166594': ['version 1', 465]}
{'NM_001166595': ['version 1', 465]}
{'NM_001166596': ['version 1', 465]}
{'NM_001166597': ['version 1', 3372]}
{'NM_001166601': ['version 1', 468]}
{'NM_001166603': ['version 1', 1206]}
{'NM_001166604': ['version 1', 831]}
{'NM_001166619': ['version 1', 579]}
{'NM_001166620': ['version 1', 501]}
{'NM_001166623': ['version 1', 1176]}
{'NM_001166625': ['version 1', 1110]}
{'NM_001166627': ['version 1', 342]}
{'NM_001166629': ['version 2', 342]}
{'NM_001166630': ['version 1', 342]}
{'NM_001166631': ['version 1', 849]}
{'NM_001166632': ['version 1', 849]}
{'NM_001166633': ['version 2', 1968]}
{'NM_001166634': ['version 1', 885]}
{'NM_001166635': ['version 1', 549]}
{'NM_001166636': ['version 1', 870]}
{'NM_001166637': ['version 1', 870]}
{'NM_001166638': ['version 1', 870]}
{'NM_001166639': ['version 1', 870]}
{'NM_001166640': ['version 1', 1956]}
{'NM_001166641': ['version 1', 870]}
{'NM_001166642': ['version 1', 2742]}
{'NM_001166643': ['version 1', 2742]}
{'NM_001166644': ['version 1', 2190]}
{'NM_001166645': ['version 1', 1668]}
{'NM_001166646': ['version 1', 468]}
{'NM_001166648': ['version 2', 2229]}
{'NM_001166649': ['version 2', 2202]}
{'NM_001166650': ['version 2', 2082]}
{'NM_001166651': ['version 1', 1602]}
{'NM_001166653': ['version 1', 1833]}
{'NM_001166654': ['version 1', 1758]}
{'NM_001166655': ['version 1', 1374]}
{'NM_001166656': ['version 1', 1746]}
{'NM_001166657': ['version 1', 1062]}
{'NM_001166658': ['version 1', 1554]}
{'NM_001166659': ['version 1', 2073]}
{'NM_001166661': ['version 2', 1383]}
{'NM_001166662': ['version 1', 1263]}
{'NM_001166665': ['version 1', 3612]}
{'NM_001166666': ['version 1', 3513]}
{'NM_001166667': ['version 1', 3495]}
{'NM_001166668': ['version 1', 3387]}
{'NM_001166669': ['version 1', 4512]}
{'NM_001166670': ['version 1', 4506]}
{'NM_001166671': ['version 1', 3723]}
{'NM_001166672': ['version 1', 2043]}
{'NM_001166675': ['version 1', 651]}
{'NM_001166676': ['version 1', 1479]}
{'NM_001166677': ['version 1', 1002]}
{'NM_001166678': ['version 1', 993]}
{'NM_001166679': ['version 1', 975]}
{'NM_001166680': ['version 1', 924]}
{'NM_001166681': ['version 1', 909]}
{'NM_001166682': ['version 1', 957]}
{'NM_001166683': ['version 1', 948]}
{'NM_001166685': ['version 1', 2355]}
{'NM_001166689': ['version 1', 930]}
{'NM_001166690': ['version 1', 939]}
{'NM_001166705': ['version 1', 816]}
{'NM_001166706': ['version 1', 933]}
{'NM_001166707': ['version 1', 924]}
{'NM_001166708': ['version 1', 924]}
{'NM_001166709': ['version 1', 939]}
{'NM_001166710': ['version 1', 936]}
{'NM_001166711': ['version 1', 924]}
{'NM_001166712': ['version 1', 918]}
{'NM_001166713': ['version 1', 918]}
{'NM_001166714': ['version 1', 918]}
{'NM_001166715': ['version 1', 918]}
{'NM_001166716': ['version 1', 924]}
{'NM_001166718': ['version 1', 942]}
{'NM_001166719': ['version 1', 930]}
{'NM_001166720': ['version 1', 918]}
{'NM_001166721': ['version 1', 915]}
{'NM_001166722': ['version 1', 915]}
{'NM_001166723': ['version 1', 918]}
{'NM_001166724': ['version 1', 924]}
{'NM_001166725': ['version 1', 924]}
{'NM_001166726': ['version 1', 918]}
{'NM_001166727': ['version 1', 915]}
{'NM_001166728': ['version 1', 921]}
{'NM_001166729': ['version 1', 912]}
{'NM_001166731': ['version 1', 921]}
{'NM_001166732': ['version 1', 903]}
{'NM_001166733': ['version 1', 903]}
{'NM_001166734': ['version 1', 933]}
{'NM_001166735': ['version 1', 897]}
{'NM_001166736': ['version 1', 924]}
{'NM_001166737': ['version 1', 918]}
{'NM_001166738': ['version 1', 924]}
{'NM_001166739': ['version 1', 924]}
{'NM_001166740': ['version 1', 924]}
{'NM_001166741': ['version 1', 945]}
{'NM_001166742': ['version 1', 921]}
{'NM_001166743': ['version 1', 924]}
{'NM_001166744': ['version 1', 924]}
{'NM_001166745': ['version 1', 888]}
{'NM_001166746': ['version 1', 921]}
{'NM_001166747': ['version 1', 924]}
{'NM_001166748': ['version 1', 894]}
{'NM_001166749': ['version 1', 918]}
{'NM_001166750': ['version 1', 924]}
{'NM_001166751': ['version 1', 918]}
{'NM_001166752': ['version 1', 924]}
{'NM_001166753': ['version 1', 924]}
{'NM_001166754': ['version 1', 894]}
{'NM_001166755': ['version 1', 924]}
{'NM_001166756': ['version 1', 924]}
{'NM_001166757': ['version 1', 924]}
{'NM_001166758': ['version 1', 918]}
{'NM_001166759': ['version 1', 924]}
{'NM_001166760': ['version 1', 825]}
{'NM_001166761': ['version 1', 966]}
{'NM_001166763': ['version 1', 897]}
{'NM_001166835': ['version 1', 921]}
{'NM_001166836': ['version 1', 924]}
{'NM_001166837': ['version 1', 966]}
{'NM_001166838': ['version 1', 966]}
{'NM_001166839': ['version 1', 921]}
{'NM_001166840': ['version 1', 924]}
{'NM_001166841': ['version 1', 924]}
{'NM_001166842': ['version 1', 930]}
{'NM_001166843': ['version 1', 915]}
{'NM_001166844': ['version 1', 924]}
{'NM_001166847': ['version 1', 894]}
{'NM_001166848': ['version 1', 924]}
{'NM_001166849': ['version 1', 924]}
{'NM_001166850': ['version 1', 924]}
{'NM_001167146': ['version 1', 924]}
{'NM_001167147': ['version 1', 924]}
{'NM_001167148': ['version 1', 924]}
{'NM_001167149': ['version 1', 924]}
{'NM_001167150': ['version 1', 921]}
{'NM_001167151': ['version 1', 921]}
{'NM_001167153': ['version 1', 924]}
{'NM_001167154': ['version 1', 921]}
{'NM_001167158': ['version 1', 924]}
{'NM_001167159': ['version 1', 924]}
{'NM_001167160': ['version 1', 966]}
{'NM_001167161': ['version 1', 966]}
{'NM_001167162': ['version 1', 921]}
{'NM_001167163': ['version 1', 921]}
{'NM_001167164': ['version 1', 945]}
{'NM_001167165': ['version 1', 945]}
{'NM_001167166': ['version 1', 918]}
{'NM_001167167': ['version 1', 918]}
{'NM_001167168': ['version 1', 921]}
{'NM_001167169': ['version 1', 921]}
{'NM_001167534': ['version 1', 921]}
{'NM_001167535': ['version 1', 921]}
{'NM_001167536': ['version 1', 951]}
{'NM_001167537': ['version 1', 951]}
{'NM_001167538': ['version 1', 924]}
{'NM_001167539': ['version 1', 921]}
{'NM_001167540': ['version 1', 945]}
{'NM_001167541': ['version 1', 906]}
{'NM_001167542': ['version 1', 939]}
{'NM_001167547': ['version 1', 900]}
{'NM_001167548': ['version 1', 951]}
{'NM_001167549': ['version 1', 948]}
{'NM_001167551': ['version 1', 918]}
{'NM_001167552': ['version 1', 948]}
{'NM_001167553': ['version 1', 981]}
{'NM_001167554': ['version 1', 918]}
{'NM_001167567': ['version 1', 903]}
{'NM_001167568': ['version 1', 903]}
{'NM_001167572': ['version 1', 906]}
{'NM_001167573': ['version 1', 966]}
{'NM_001167578': ['version 1', 1449]}
{'NM_001167581': ['version 1', 483]}
{'NM_001167584': ['version 1', 330]}
{'NM_001167586': ['version 1', 300]}
{'NM_001167587': ['version 1', 309]}
{'NM_001167588': ['version 1', 351]}
{'NM_001167592': ['version 3', 297]}
{'NM_001167593': ['version 1', 4086]}
{'NM_001167664': ['version 1', 627]}
{'NM_001167665': ['version 1', 1959]}
{'NM_001167666': ['version 1', 1419]}
{'NM_001167669': ['version 1', 654]}
{'NM_001167673': ['version 1', 330]}
{'NM_001167679': ['version 1', 2538]}
{'NM_001167680': ['version 1', 2484]}
{'NM_001167693': ['version 1', 1230]}
{'NM_001167694': ['version 2', 1248]}
{'NM_001167695': ['version 2', 1230]}
{'NM_001167696': ['version 2', 1230]}
{'NM_001167697': ['version 2', 1248]}
{'NM_001167699': ['version 2', 1248]}
{'NM_001167700': ['version 2', 1230]}
{'NM_001167705': ['version 1', 1269]}
{'NM_001167730': ['version 1', 1671]}
{'NM_001167736': ['version 1', 738]}
{'NM_001167743': ['version 1', 1224]}
{'NM_001167745': ['version 1', 582]}
{'NM_001167746': ['version 1', 13362]}
{'NM_001167748': ['version 2', 1602]}
{'NM_001167750': ['version 1', 2790]}
{'NM_001167751': ['version 1', 2817]}
{'NM_001167757': ['version 1', 843]}
{'NM_001167763': ['version 1', 3549]}
{'NM_001167767': ['version 2', 711]}
{'NM_001167768': ['version 2', 819]}
{'NM_001167775': ['version 2', 2790]}
{'NM_001167776': ['version 2', 2562]}
{'NM_001167777': ['version 1', 6615]}
{'NM_001167784': ['version 1', 2505]}
{'NM_001167790': ['version 1', 282]}
{'NM_001167792': ['version 1', 855]}
{'NM_001167793': ['version 1', 1446]}
{'NM_001167799': ['version 1', 1068]}
{'NM_001167806': ['version 2', 2472]}
{'NM_001167818': ['version 1', 903]}
{'NM_001167828': ['version 1', 1044]}
{'NM_001167829': ['version 2', 1053]}
{'NM_001167831': ['version 1', 948]}
{'NM_001167832': ['version 1', 402]}
{'NM_001167840': ['version 1', 2058]}
{'NM_001167842': ['version 1', 4194]}
{'NM_001167860': ['version 2', 1452]}
{'NM_001167861': ['version 2', 1350]}
{'NM_001167864': ['version 1', 3282]}
{'NM_001167872': ['version 1', 2016]}
{'NM_001167873': ['version 1', 2013]}
{'NM_001167875': ['version 1', 1296]}
{'NM_001167876': ['version 1', 4386]}
{'NM_001167877': ['version 1', 654]}
{'NM_001167878': ['version 1', 4323]}
{'NM_001167879': ['version 1', 2643]}
{'NM_001167883': ['version 1', 831]}
{'NM_001167884': ['version 1', 984]}
{'NM_001167885': ['version 1', 2652]}
{'NM_001167886': ['version 1', 2583]}
{'NM_001167887': ['version 1', 2652]}
{'NM_001167888': ['version 1', 984]}
{'NM_001167889': ['version 2', 1185]}
{'NM_001167891': ['version 2', 2265]}
{'NM_001167898': ['version 1', 6384]}
{'NM_001167905': ['version 1', 1371]}
{'NM_001167906': ['version 1', 3102]}
{'NM_001167907': ['version 1', 891]}
{'NM_001167909': ['version 1', 1413]}
{'NM_001167910': ['version 1', 3159]}
{'NM_001167913': ['version 2', 1455]}
{'NM_001167914': ['version 1', 876]}
{'NM_001167918': ['version 1', 3348]}
{'NM_001167920': ['version 1', 2766]}
{'NM_001167921': ['version 1', 879]}
{'NM_001167922': ['version 1', 879]}
{'NM_001167923': ['version 1', 7923]}
{'NM_001167925': ['version 2', 633]}
{'NM_001167936': ['version 3', 2127]}
{'NM_001167937': ['version 1', 1395]}
{'NM_001167938': ['version 1', 1392]}
{'NM_001167939': ['version 1', 1953]}
{'NM_001167944': ['version 1', 2241]}
{'NM_001167946': ['version 2', 1242]}
{'NM_001167949': ['version 2', 3501]}
{'NM_001167963': ['version 1', 2220]}
{'NM_001167964': ['version 1', 1869]}
{'NM_001167967': ['version 2', 948]}
{'NM_001167976': ['version 1', 918]}
{'NM_001167981': ['version 1', 1974]}
{'NM_001167983': ['version 1', 5256]}
{'NM_001167988': ['version 1', 882]}
{'NM_001167991': ['version 2', 2148]}
{'NM_001167994': ['version 1', 1482]}
{'NM_001167995': ['version 1', 381]}
{'NM_001167996': ['version 1', 744]}
{'NM_001167997': ['version 1', 2124]}
{'NM_001168000': ['version 1', 1566]}
{'NM_001168218': ['version 1', 1113]}
{'NM_001168219': ['version 1', 1044]}
{'NM_001168220': ['version 1', 957]}
{'NM_001168223': ['version 1', 639]}
{'NM_001168224': ['version 1', 624]}
{'NM_001168225': ['version 1', 867]}
{'NM_001168226': ['version 1', 867]}
{'NM_001168227': ['version 1', 867]}
{'NM_001168228': ['version 1', 867]}
{'NM_001168229': ['version 1', 867]}
{'NM_001168230': ['version 1', 867]}
{'NM_001168240': ['version 1', 714]}
{'NM_001168244': ['version 1', 267]}
{'NM_001168246': ['version 1', 534]}
{'NM_001168248': ['version 1', 1851]}
{'NM_001168250': ['version 1', 1890]}
{'NM_001168255': ['version 2', 1776]}
{'NM_001168256': ['version 1', 678]}
{'NM_001168257': ['version 1', 603]}
{'NM_001168258': ['version 1', 333]}
{'NM_001168259': ['version 1', 333]}
{'NM_001168260': ['version 1', 1998]}
{'NM_001168270': ['version 1', 1821]}
{'NM_001168273': ['version 1', 3063]}
{'NM_001168274': ['version 1', 1443]}
{'NM_001168276': ['version 1', 1608]}
{'NM_001168277': ['version 1', 540]}
{'NM_001168281': ['version 1', 1359]}
{'NM_001168284': ['version 1', 636]}
{'NM_001168285': ['version 1', 636]}
{'NM_001168288': ['version 2', 3324]}
{'NM_001168289': ['version 1', 1059]}
{'NM_001168290': ['version 1', 3204]}
{'NM_001168292': ['version 1', 3135]}
{'NM_001168293': ['version 1', 3039]}
{'NM_001168294': ['version 1', 1338]}
{'NM_001168295': ['version 1', 1338]}
{'NM_001168296': ['version 1', 2832]}
{'NM_001168297': ['version 1', 2241]}
{'NM_001168318': ['version 1', 1164]}
{'NM_001168321': ['version 1', 5124]}
{'NM_001168332': ['version 1', 1065]}
{'NM_001168333': ['version 1', 1401]}
{'NM_001168334': ['version 1', 1497]}
{'NM_001168337': ['version 1', 1497]}
{'NM_001168343': ['version 1', 1026]}
{'NM_001168346': ['version 1', 2673]}
{'NM_001168353': ['version 1', 1074]}
{'NM_001168354': ['version 1', 1179]}
{'NM_001168356': ['version 1', 843]}
{'NM_001168358': ['version 1', 435]}
{'NM_001168369': ['version 1', 1146]}
{'NM_001168371': ['version 2', 3975]}
{'NM_001168372': ['version 2', 3972]}
{'NM_001168373': ['version 2', 3969]}
{'NM_001168382': ['version 2', 2826]}
{'NM_001168386': ['version 2', 993]}
{'NM_001168392': ['version 1', 318]}
{'NM_001168403': ['version 1', 1797]}
{'NM_001168404': ['version 1', 822]}
{'NM_001168405': ['version 1', 666]}
{'NM_001168423': ['version 2', 294]}
{'NM_001168469': ['version 2', 261]}
{'NM_001168470': ['version 1', 333]}
{'NM_001168471': ['version 1', 270]}
{'NM_001168472': ['version 1', 270]}
{'NM_001168475': ['version 1', 1341]}
{'NM_001168476': ['version 1', 834]}
{'NM_001168477': ['version 1', 492]}
{'NM_001168488': ['version 1', 1854]}
{'NM_001168489': ['version 1', 1836]}
{'NM_001168490': ['version 1', 1671]}
{'NM_001168491': ['version 1', 1410]}
{'NM_001168492': ['version 1', 1410]}
{'NM_001168497': ['version 1', 891]}
{'NM_001168498': ['version 1', 303]}
{'NM_001168500': ['version 1', 303]}
{'NM_001168501': ['version 1', 1266]}
{'NM_001168502': ['version 1', 1257]}
{'NM_001168503': ['version 1', 963]}
{'NM_001168504': ['version 1', 1824]}
{'NM_001168505': ['version 1', 1749]}
{'NM_001168506': ['version 2', 2703]}
{'NM_001168507': ['version 1', 531]}
{'NM_001168508': ['version 1', 1083]}
{'NM_001168509': ['version 1', 993]}
{'NM_001168510': ['version 1', 993]}
{'NM_001168511': ['version 1', 993]}
{'NM_001168512': ['version 1', 993]}
{'NM_001168513': ['version 1', 852]}
{'NM_001168514': ['version 1', 852]}
{'NM_001168515': ['version 1', 3384]}
{'NM_001168516': ['version 1', 309]}
{'NM_001168517': ['version 1', 309]}
{'NM_001168521': ['version 1', 2295]}
{'NM_001168523': ['version 1', 1125]}
{'NM_001168524': ['version 1', 2985]}
{'NM_001168525': ['version 1', 1260]}
{'NM_001168526': ['version 1', 1260]}
{'NM_001168527': ['version 1', 3270]}
{'NM_001168529': ['version 1', 2406]}
{'NM_001168535': ['version 1', 1578]}
{'NM_001168536': ['version 1', 1503]}
{'NM_001168537': ['version 1', 1500]}
{'NM_001168538': ['version 1', 1494]}
{'NM_001168539': ['version 1', 1065]}
{'NM_001168540': ['version 1', 1065]}
{'NM_001168541': ['version 1', 1065]}
{'NM_001168542': ['version 1', 1785]}
{'NM_001168543': ['version 1', 1491]}
{'NM_001168549': ['version 1', 4815]}
{'NM_001168557': ['version 1', 1332]}
{'NM_001168559': ['version 1', 6204]}
{'NM_001168561': ['version 1', 1047]}
{'NM_001168562': ['version 1', 771]}
{'NM_001168564': ['version 1', 1476]}
{'NM_001168568': ['version 1', 1761]}
{'NM_001168569': ['version 1', 1761]}
{'NM_001168571': ['version 1', 1608]}
{'NM_001168572': ['version 1', 1032]}
{'NM_001168577': ['version 1', 873]}
{'NM_001168578': ['version 1', 354]}
{'NM_001168579': ['version 1', 588]}
{'NM_001168583': ['version 1', 1302]}
{'NM_001168584': ['version 1', 1278]}
{'NM_001168586': ['version 1', 1821]}
{'NM_001168588': ['version 1', 2223]}
{'NM_001168589': ['version 2', 2223]}
{'NM_001168590': ['version 1', 840]}
{'NM_001168591': ['version 1', 1299]}
{'NM_001168592': ['version 1', 252]}
{'NM_001168593': ['version 1', 939]}
{'NM_001168600': ['version 1', 1734]}
{'NM_001168602': ['version 1', 1515]}
{'NM_001168612': ['version 1', 1329]}
{'NM_001168615': ['version 1', 444]}
{'NM_001168620': ['version 2', 1434]}
{'NM_001168621': ['version 2', 684]}
{'NM_001168622': ['version 2', 588]}
{'NM_001168623': ['version 2', 384]}
{'NM_001168624': ['version 1', 1260]}
{'NM_001168630': ['version 1', 2367]}
{'NM_001168631': ['version 1', 2367]}
{'NM_001168632': ['version 1', 4461]}
{'NM_001168633': ['version 1', 3984]}
{'NM_001168641': ['version 1', 1083]}
{'NM_001168642': ['version 1', 2397]}
{'NM_001168643': ['version 1', 1629]}
{'NM_001168644': ['version 1', 1659]}
{'NM_001168645': ['version 1', 1545]}
{'NM_001168646': ['version 1', 1818]}
{'NM_001168650': ['version 1', 945]}
{'NM_001168652': ['version 1', 1950]}
{'NM_001168653': ['version 1', 2763]}
{'NM_001168655': ['version 1', 597]}
{'NM_001168656': ['version 1', 597]}
{'NM_001168657': ['version 1', 597]}
{'NM_001168658': ['version 1', 492]}
{'NM_001168659': ['version 1', 783]}
{'NM_001168660': ['version 1', 933]}
{'NM_001168661': ['version 1', 270]}
{'NM_001168664': ['version 1', 8016]}
{'NM_001168667': ['version 1', 1473]}
{'NM_001168668': ['version 1', 1494]}
{'NM_001168670': ['version 1', 630]}
{'NM_001168672': ['version 1', 2226]}
{'NM_001168674': ['version 1', 1569]}
{'NM_001168679': ['version 1', 708]}
{'NM_001168680': ['version 1', 708]}
{'NM_001168684': ['version 1', 1341]}
{'NM_001168693': ['version 1', 1239]}
{'NM_001168703': ['version 1', 4113]}
{'NM_001169100': ['version 1', 813]}
{'NM_001169101': ['version 2', 4854]}
{'NM_001169102': ['version 1', 666]}
{'NM_001169103': ['version 1', 3114]}
{'NM_001169104': ['version 1', 1518]}
{'NM_001169105': ['version 1', 1056]}
{'NM_001169108': ['version 1', 1584]}
{'NM_001169112': ['version 1', 3171]}
{'NM_001169113': ['version 1', 1083]}
{'NM_001169114': ['version 1', 1194]}
{'NM_001169115': ['version 1', 3402]}
{'NM_001169116': ['version 2', 3270]}
{'NM_001169119': ['version 1', 2133]}
{'NM_001169120': ['version 1', 1707]}
{'NM_001169121': ['version 1', 522]}
{'NM_001169127': ['version 1', 813]}
{'NM_001169128': ['version 3', 1086]}
{'NM_001169129': ['version 1', 3297]}
{'NM_001169130': ['version 1', 2325]}
{'NM_001169131': ['version 1', 1626]}
{'NM_001169132': ['version 1', 960]}
{'NM_001169133': ['version 2', 8145]}
{'NM_001169136': ['version 1', 1623]}
{'NM_001169137': ['version 2', 3120]}
{'NM_001169138': ['version 1', 3519]}
{'NM_001169139': ['version 1', 2031]}
{'NM_001169140': ['version 1', 1032]}
{'NM_001169141': ['version 1', 4395]}
{'NM_001169142': ['version 1', 3165]}
{'NM_001169143': ['version 1', 1002]}
{'NM_001169144': ['version 1', 1200]}
{'NM_001169145': ['version 1', 375]}
{'NM_001169146': ['version 1', 441]}
{'NM_001169149': ['version 1', 3012]}
{'NM_001169152': ['version 1', 966]}
{'NM_001169153': ['version 1', 1014]}
{'NM_001169575': ['version 1', 840]}
{'NM_001169576': ['version 1', 459]}
{'NM_001169577': ['version 1', 342]}
{'NM_001169578': ['version 1', 600]}
{'NM_001169579': ['version 1', 1281]}
{'NM_001170324': ['version 1', 1740]}
{'NM_001170325': ['version 1', 2685]}
{'NM_001170326': ['version 1', 3621]}
{'NM_001170327': ['version 1', 7341]}
{'NM_001170328': ['version 1', 6972]}
{'NM_001170329': ['version 1', 750]}
{'NM_001170332': ['version 1', 717]}
{'NM_001170333': ['version 1', 789]}
{'NM_001170334': ['version 1', 1173]}
{'NM_001170335': ['version 1', 1659]}
{'NM_001170336': ['version 1', 4896]}
{'NM_001170337': ['version 1', 1575]}
{'NM_001170340': ['version 1', 3450]}
{'NM_001170341': ['version 1', 744]}
{'NM_001170342': ['version 1', 972]}
{'NM_001170343': ['version 1', 1431]}
{'NM_001170346': ['version 1', 1821]}
{'NM_001170347': ['version 1', 7032]}
{'NM_001170348': ['version 1', 5622]}
{'NM_001170349': ['version 1', 1296]}
{'NM_001170350': ['version 1', 1350]}
{'NM_001170395': ['version 1', 3480]}
{'NM_001170396': ['version 2', 2046]}
{'NM_001170397': ['version 1', 960]}
{'NM_001170398': ['version 1', 9036]}
{'NM_001170399': ['version 1', 1275]}
{'NM_001170400': ['version 1', 279]}
{'NM_001170401': ['version 2', 504]}
{'NM_001170403': ['version 1', 942]}
{'NM_001170404': ['version 1', 1707]}
{'NM_001170405': ['version 1', 831]}
{'NM_001170408': ['version 1', 2334]}
{'NM_001170419': ['version 1', 198]}
{'NM_001170421': ['version 1', 1191]}
{'NM_001170426': ['version 1', 2241]}
{'NM_001170428': ['version 1', 1866]}
{'NM_001170429': ['version 1', 471]}
{'NM_001170430': ['version 1', 1110]}
{'NM_001170431': ['version 1', 1242]}
{'NM_001170432': ['version 1', 3306]}
{'NM_001170433': ['version 1', 2943]}
{'NM_001170434': ['version 1', 1992]}
{'NM_001170435': ['version 1', 399]}
{'NM_001170436': ['version 2', 6687]}
{'NM_001170438': ['version 2', 2760]}
{'NM_001170439': ['version 1', 3012]}
{'NM_001170454': ['version 1', 1263]}
{'NM_001170455': ['version 1', 1263]}
{'NM_001170456': ['version 1', 1287]}
{'NM_001170457': ['version 1', 279]}
{'NM_001170459': ['version 1', 4335]}
{'NM_001170461': ['version 1', 1467]}
{'NM_001170462': ['version 1', 2466]}
{'NM_001170465': ['version 1', 195]}
{'NM_001170466': ['version 1', 741]}
{'NM_001170467': ['version 1', 648]}
{'NM_001170468': ['version 1', 4020]}
{'NM_001170469': ['version 1', 1266]}
{'NM_001170470': ['version 1', 1245]}
{'NM_001170471': ['version 1', 5187]}
{'NM_001170472': ['version 1', 2769]}
{'NM_001170473': ['version 1', 948]}
{'NM_001170474': ['version 1', 2235]}
{'NM_001170475': ['version 1', 2112]}
{'NM_001170476': ['version 1', 918]}
{'NM_001170477': ['version 2', 1029]}
{'NM_001170478': ['version 1', 1746]}
{'NM_001170479': ['version 1', 591]}
{'NM_001170480': ['version 1', 369]}
{'NM_001170481': ['version 1', 1452]}
{'NM_001170482': ['version 1', 450]}
{'NM_001170483': ['version 1', 1065]}
{'NM_001170484': ['version 1', 1098]}
{'NM_001170485': ['version 1', 276]}
{'NM_001170486': ['version 1', 237]}
{'NM_001170488': ['version 1', 528]}
{'NM_001170489': ['version 1', 1500]}
{'NM_001170531': ['version 1', 3735]}
{'NM_001170533': ['version 1', 2184]}
{'NM_001170534': ['version 2', 3012]}
{'NM_001170539': ['version 1', 2475]}
{'NM_001170540': ['version 1', 489]}
{'NM_001170541': ['version 1', 333]}
{'NM_001170542': ['version 1', 465]}
{'NM_001170545': ['version 1', 300]}
{'NM_001170546': ['version 1', 1515]}
{'NM_001170547': ['version 1', 1515]}
{'NM_001170548': ['version 1', 1515]}
{'NM_001170549': ['version 1', 342]}
{'NM_001170551': ['version 2', 10524]}
{'NM_001170552': ['version 1', 2094]}
{'NM_001170554': ['version 1', 3414]}
{'NM_001170555': ['version 1', 984]}
{'NM_001170556': ['version 1', 981]}
{'NM_001170557': ['version 1', 1788]}
{'NM_001170558': ['version 1', 10074]}
{'NM_001170559': ['version 1', 1968]}
{'NM_001170560': ['version 1', 4866]}
{'NM_001170561': ['version 1', 5682]}
{'NM_001170562': ['version 1', 825]}
{'NM_001170563': ['version 1', 2589]}
{'NM_001170565': ['version 1', 2034]}
{'NM_001170566': ['version 2', 3018]}
{'NM_001170567': ['version 1', 4776]}
{'NM_001170568': ['version 1', 4662]}
{'NM_001170571': ['version 1', 600]}
{'NM_001170573': ['version 1', 1020]}
{'NM_001170575': ['version 1', 1998]}
{'NM_001170576': ['version 2', 411]}
{'NM_001170577': ['version 1', 2172]}
{'NM_001170582': ['version 1', 2259]}
{'NM_001170584': ['version 1', 1815]}
{'NM_001170586': ['version 1', 3198]}
{'NM_001170589': ['version 1', 1983]}
{'NM_001170590': ['version 1', 2286]}
{'NM_001170591': ['version 1', 771]}
{'NM_001170593': ['version 1', 1935]}
{'NM_001170594': ['version 1', 6345]}
{'NM_001170595': ['version 1', 1131]}
{'NM_001170596': ['version 2', 14598]}
{'NM_001170597': ['version 2', 4734]}
{'NM_001170600': ['version 1', 5919]}
{'NM_001170601': ['version 1', 2016]}
{'NM_001170602': ['version 1', 6330]}
{'NM_001170603': ['version 1', 3885]}
{'NM_001170604': ['version 1', 2217]}
{'NM_001170605': ['version 1', 3939]}
{'NM_001170606': ['version 1', 3060]}
{'NM_001170632': ['version 1', 1776]}
{'NM_001170638': ['version 1', 1398]}
{'NM_001170641': ['version 1', 1692]}
{'NM_001170643': ['version 1', 906]}
{'NM_001170669': ['version 1', 2367]}
{'NM_001170685': ['version 1', 4851]}
{'NM_001170691': ['version 1', 882]}
{'NM_001170694': ['version 1', 1656]}
{'NM_001170705': ['version 2', 2718]}
{'NM_001170708': ['version 1', 1254]}
{'NM_001170709': ['version 1', 1206]}
{'NM_001170710': ['version 1', 867]}
{'NM_001170711': ['version 1', 867]}
{'NM_001170742': ['version 1', 2925]}
{'NM_001170743': ['version 1', 2982]}
{'NM_001170744': ['version 1', 2967]}
{'NM_001170745': ['version 1', 3297]}
{'NM_001170746': ['version 1', 3828]}
{'NM_001170748': ['version 1', 1848]}
{'NM_001170749': ['version 1', 1785]}
{'NM_001170785': ['version 1', 2934]}
{'NM_001170786': ['version 1', 2934]}
{'NM_001170787': ['version 1', 3297]}
{'NM_001170788': ['version 1', 2274]}
{'NM_001170789': ['version 1', 1911]}
{'NM_001170799': ['version 1', 1221]}
{'NM_001170800': ['version 1', 1221]}
{'NM_001170801': ['version 1', 909]}
{'NM_001170802': ['version 1', 897]}
{'NM_001170820': ['version 4', 687]}
{'NM_001170847': ['version 1', 3600]}
{'NM_001170848': ['version 2', 1149]}
{'NM_001170849': ['version 2', 978]}
{'NM_001170851': ['version 1', 966]}
{'NM_001170853': ['version 1', 1617]}
{'NM_001170855': ['version 1', 2154]}
